"entityID","entity","tier1and2entity","tier1and2entityID","mission","website","operational","decision","regulatory","research","level"
"n17","Water Quality Permitting","Department of Environmental Quality",2,NA,"https://deq.nc.gov/about/divisions/water-resources/water-resources-permits","Yes","Yes","Yes","No",4
"n18","Nondischarge Permitting Branch","Department of Environmental Quality",2,"Responsible for the permitting and compliance of residual and wastewater effluent land application facilities.","https://deq.nc.gov/about/divisions/water-resources/water-resources-permits/wastewater-branch/non-discharge-permitting","No","No","Yes","No",5
"n19","Complex Permitting Branch","Department of Environmental Quality",2,"Responsible for major and minor National Pollutant Discharge Elimination System wastewater permitting, special technical issues, Level B modeling and policy implementation.","https://deq.nc.gov/about/divisions/water-resources/water-quality-permitting/npdes-wastewater/permitting-contacts","No","No","Yes","No",5
"n20","Compliance and Expedited Permitting Branch","Department of Environmental Quality",2,"Responsible for permitting and compliance in accordance with the federal National Pollutant Discharge Elimination System.","https://deq.nc.gov/about/divisions/water-resources/water-resources-permits/wastewater-branch/npdes-wastewater-permits","No","No","Yes","No",5
"n21","Pretreatment, Emergency Response, and Collection Systems Branch","Department of Environmental Quality",2,"Controls and documents the discharge of wastewater from Significant and Categorical Industrial Users to the Publicly Owned Treatment Works, is responsible for the various permitting programs for wastewater collection systems, oversees wastewater collection construction, operation, maintenance and enforcement and coordinates the division's emergency response operations.","https://deq.nc.gov/about/divisions/water-resources/water-resources-permits/percs","Yes","Yes","Yes","No",5
"n22","401 and Buffer Permitting Branch","Department of Environmental Quality",2,"Responsible for implementing the state waters, wetlands and riparian buffer regulatory programs and assisting with compliance and enforcement procedures.","https://deq.nc.gov/about/divisions/water-resources/water-resources-permits/wastewater-branch/401-wetlands-buffer-permits","No","No","Yes","No",5
"n23","Transportation Permitting Branch","Department of Environmental Quality",2,"Assists the NC DOT with the planning and permitting of their projects.","https://deq.nc.gov/about/divisions/water-resources/water-quality-permitting/transportation-permitting","No","No","Yes","No",5
"n24","Energy, Mineral, and Land Resources","Department of Environmental Quality",2,"Dedicated to ensuring a sustainable energy future for the citizens of North Carolina.","https://deq.nc.gov/about/divisions/energy-mineral-land-resources","Yes","Yes","Yes","No",3
"n25","Dam Safety","Department of Environmental Quality",2,"Provides oversight of more than 3,000 dams statewide, working to provide for the ceritification and inspection of dams to reduce the risk of failure of dams; to prevent property damage, personal injury, and loss of reservoir storage; and to ensure maintneance of minimum flows of adequate quantity and quality below dams.","https://deq.nc.gov/about/divisions/energy-mineral-land-resources/energy-mineral-land-permits/dam-safety","Yes","Yes","Yes","No",4
"n26","Stormwater","Department of Environmental Quality",2,"Develops and implements programs to protect North Carolina’s surface waters from stormwater runoff.","https://deq.nc.gov/about/divisions/energy-mineral-land-resources/stormwater","No","Yes","No","No",4
"n27","Coastal Management","Department of Environmental Quality",2,"Protect, conserve and manage North Carolina's coastal resources through an integrated program of planning, permitting, education and research.","https://deq.nc.gov/about/divisions/coastal-management","No","Yes","No","Yes",3
"n28","Department of Agriculture and Consumer Services","Department of Agriculture and Consumer Services",3,"Provide services that promote and improve agriculture, agribusiness and forests; protect consumers and businesses; and conserve farmland and natural resources for the prosperity of all North Carolinians.","http://www.ncagr.gov/index.htm","No","Yes","No","Yes",2
"n29","Agricultural Statistics","Department of Agriculture and Consumer Services",3,"Provide timely, accurate, and useful statistics in service to North Carolina and U.S. agriculture.","http://www.ncagr.gov/stats/index.htm","No","Yes","No","No",3
"n30","Environmental Statistics","Department of Agriculture and Consumer Services",3,NA,"http://www.ncagr.gov/stats/environmental/index.htm","No","Yes","No","No",4
"n31","Weather and Crop Reports","Department of Agriculture and Consumer Services",3,NA,"http://www.ncagr.gov/stats/weather/weather.htm","No","Yes","No","No",4
"n32","North Carolina Forest Service","Department of Agriculture and Consumer Services",3,NA,"http://www.ncforestservice.gov/","No","Yes","No","Yes",3
"n33","Department of Information Technology","Department of Information Technology",4,"Provide technology services to state agencies and other government customers across North Carolina.","https://it.nc.gov/","Yes","Yes","No","No",2
"n34","Geographic Information Coordinating Council","Department of Information Technology",4,"Quality of statewide geographic information, public access to geospatial resources, collaboration in data development and GIS applications, and wide use of geographic information as a strategic element in public and private business processes.","https://it.nc.gov/gicc","No","Yes","No","No",3
"n35","Department of Health and Human Services","Department of Health and Human Services",5,"Provides essential services to improve the health, safety and well-being of all North Carolinians.","https://www.ncdhhs.gov/","No","No","Yes","No",2
"n36","Public Health","Department of Health and Human Services",5,"Promote disease prevention, health services and health promotion programs that protect communities from communicable diseases, epidemics and contaminated food and water.","https://publichealth.nc.gov/","No","No","Yes","No",3
"n37","Environmental Health","Department of Health and Human Services",5,"Safeguard life, promote human health and protect the environment through the practice of modern environmental health science, the use of technology, rules, public education and above all, dedication to the public trust.","https://ehs.ncpublichealth.com/","No","No","Yes","No",4
"n38","On Site Water Protection","Department of Health and Human Services",5,"Provide regulatory oversight of sub-surface on-site wastewater treatment and dispersal systems, as well as inspection and testing of private drinking water wells constructed, repaired or abandoned, on or after July 1, 2008.","https://ehs.ncpublichealth.com/oswp/","No","No","Yes","No",5
"n39","Department of Transportation","Department of Transportation",6,"Connecting people, products and places safely and efficiently with customer focus, accountability and environmental sensitivity to enhance the economy and vitality of North Carolina","https://www.ncdot.gov","No","Yes","Yes","No",2
"n40","Department of Public Safety","Department of Public Safety",7,NA,"https://www.ncdps.gov/","Yes","Yes","Yes","No",2
"n41","Emergency Management","Department of Public Safety",7,NA,"https://www.ncdps.gov/ncem","Yes","Yes","Yes","No",3
"n42","Risk Management","Department of Public Safety",7,NA,"https://www.ncdps.gov/our-organization/emergency-management/risk-management","No","Yes","Yes","No",4
"n43","Water Sciences","Department of Environmental Quality",2,"Provides the scientific and technical support required to monitor, regulate and manage water quality throughout North Carolina.","https://deq.nc.gov/about/divisions/water-resources/water-resources-data/water-sciences-home-page","No","Yes","Yes","No",3
